IC TERM STRUCTURE — mean Spearman IC by forward horizon (trading days)
natural horizon = peak |IC|.  ⚠ = sign flips across horizons (reversal).


── FAST (54) ──
signal                       tier          5d       20d       63d      126d      252d   peak   bucket
fcf_margin                   SMALL     +0.010    -0.012    -0.015    -0.011    -0.012    63d   MEDIUM ⚠
fcf_yield                    LARGE     +0.015    +0.019    +0.032    +0.020    -0.022    63d   MEDIUM ⚠
growth_composite             LARGE     +0.093    +0.097    +0.158    +0.205         —    63d   MEDIUM
iv_percentile_1y             LARGE     +0.023    +0.035    +0.056    +0.017         —    63d   MEDIUM
iv_percentile_1y             SMALL     -0.012    +0.026    +0.031    +0.017         —    63d   MEDIUM ⚠
iv_realised_spread           LARGE     +0.024    +0.019    -0.032    +0.031         —    63d   MEDIUM ⚠
iv_realised_spread           MID       -0.025    -0.014    -0.032    -0.013         —    63d   MEDIUM
iv_skew_25d                  MID       +0.032    +0.060    +0.067    +0.021         —    63d   MEDIUM
m_score                      LARGE     -0.004    -0.063    -0.074    -0.106         —    63d   MEDIUM
m_score                      MID       -0.029    -0.035    -0.105    -0.210         —    63d   MEDIUM
margin_slope                 MID       +0.001    +0.006    -0.022    -0.021    -0.007    63d   MEDIUM ⚠
max_pain_distance            MID       +0.032    -0.022    -0.074         —         —    63d   MEDIUM ⚠
max_pain_distance            SMALL     +0.002    -0.054    -0.176         —         —    63d   MEDIUM ⚠
mom_12m_adj                  LARGE     -0.028    -0.052    -0.068    -0.045    -0.001    63d   MEDIUM
mom_composite                SMALL     +0.015    +0.025    +0.029    +0.029    +0.002    63d   MEDIUM
nwc_to_revenue               MID       +0.052    +0.043    +0.057    +0.027    +0.035    63d   MEDIUM
oi_buildup_signal            MID       +0.004    -0.011    -0.030         —         —    63d   MEDIUM ⚠
pcr_oi                       MID       +0.014    +0.007    -0.026         —         —    63d   MEDIUM ⚠
pcr_oi                       SMALL     +0.029    +0.008    +0.060         —         —    63d   MEDIUM
pcr_volume                   LARGE     -0.008    -0.042    -0.065         —         —    63d   MEDIUM
pead_drift_60d               LARGE     -0.049    -0.022    -0.076    -0.040    -0.038    63d   MEDIUM
pead_drift_60d               MID       -0.048    -0.035    -0.068    -0.025    -0.064    63d   MEDIUM
piotroski_f_score            MID       +0.028    +0.037    +0.052    +0.032    -0.006    63d   MEDIUM ⚠
pledge_quality               MID       -0.013    -0.016    -0.020    +0.000    +0.007    63d   MEDIUM ⚠
position_52w                 LARGE     -0.051    -0.031    -0.062    -0.044    -0.043    63d   MEDIUM
promoter_trend_4q            SMALL     -0.029    -0.023    +0.044         —         —    63d   MEDIUM ⚠
sector_momentum              LARGE     -0.048    -0.017    -0.058    -0.009    +0.011    63d   MEDIUM ⚠
sector_momentum              MID       +0.020    +0.012    -0.024    +0.018    +0.014    63d   MEDIUM ⚠
wc_intensity                 MID       +0.050    +0.040    +0.085    +0.054    +0.066    63d   MEDIUM

── SLOW (132) ──
signal                       tier          5d       20d       63d      126d      252d   peak   bucket
asset_tangibility            LARGE     -0.024    -0.007    -0.021    -0.097    -0.124   252d     SLOW
asset_tangibility            MID       +0.007    -0.018    +0.032    +0.044    +0.014   126d     SLOW ⚠
avg_delivery_pct_30d         LARGE     -0.001    +0.011    +0.025    +0.029    -0.030   252d     SLOW ⚠
avg_delivery_pct_30d         MID       +0.012    +0.018    +0.052    +0.065    +0.071   252d     SLOW
avg_delivery_pct_30d         SMALL     +0.038    +0.062    +0.097    +0.121    +0.116   126d     SLOW
bidask_spread_proxy          LARGE     +0.032    +0.021    +0.080    +0.126    +0.135   252d     SLOW
bidask_spread_proxy          MID       +0.012    +0.028    +0.064    +0.099    +0.097   126d     SLOW
bidask_spread_proxy          SMALL     +0.027    +0.010    +0.031    +0.048    +0.065   252d     SLOW
book_to_price                MID       +0.034    +0.051    +0.083    +0.115    +0.126   252d     SLOW
book_to_price                SMALL     +0.017    +0.038    +0.076    +0.109    +0.142   252d     SLOW
bs_accruals_ratio            LARGE     -0.024    +0.028    +0.053    +0.064    +0.033   126d     SLOW ⚠
bs_accruals_ratio            SMALL     +0.001    -0.016    -0.010    -0.024    -0.012   126d     SLOW ⚠
bulk_deal_signal             SMALL     +0.035    +0.056    +0.080    +0.080    +0.080   126d     SLOW
buyback_announcement_30d     SMALL     -0.003    -0.003    -0.011    +0.002    -0.012   252d     SLOW ⚠
capex_to_dep                 LARGE     -0.073    -0.051    -0.068    -0.083    -0.098   252d     SLOW
capex_to_dep                 MID       +0.001    +0.010    -0.018    -0.020    -0.023   252d     SLOW ⚠
capex_to_dep                 SMALL     -0.010    -0.005    -0.014    -0.050    -0.057   252d     SLOW
cf_accruals_ratio            LARGE     +0.002    +0.004    -0.020    -0.072    +0.012   126d     SLOW ⚠
cf_accruals_ratio            MID       -0.035    -0.056    -0.104    -0.162    -0.200   252d     SLOW
cf_accruals_ratio            SMALL     +0.004    -0.015    -0.022    -0.033    -0.035   252d     SLOW ⚠
closing_strength_1m          LARGE     +0.029    +0.014    -0.030    -0.032    -0.031   126d     SLOW ⚠
closing_strength_1m          MID       -0.020    +0.002    -0.023    -0.043    -0.060   252d     SLOW ⚠
closing_strength_1m          SMALL     -0.015    +0.015    +0.021    +0.029    +0.004   126d     SLOW ⚠
consensus_signal_combined    LARGE     -0.005    +0.056    +0.046    +0.062    +0.035   126d     SLOW ⚠
consensus_signal_combined    MID       -0.035    -0.017    -0.054    -0.048    -0.061   252d     SLOW
corporate_action_density     LARGE     -0.039    -0.086    -0.144    -0.149    -0.101   126d     SLOW
corporate_action_density     MID       -0.030    -0.013    -0.020    -0.047    -0.026   126d     SLOW
debt_structure               LARGE     -0.044    +0.003    +0.039    +0.037    +0.094   252d     SLOW ⚠
debt_structure               MID       +0.021    +0.005    +0.024    +0.043    +0.085   252d     SLOW
debt_structure               SMALL     +0.002    -0.002    +0.021    +0.034    +0.062   252d     SLOW ⚠
debt_to_equity               LARGE     -0.003    +0.042    +0.027    +0.051    +0.067   252d     SLOW ⚠
debt_to_equity               MID       -0.001    +0.046    +0.065    +0.105    +0.099   126d     SLOW ⚠
debt_to_equity               SMALL     +0.000    +0.007    +0.015    +0.022    +0.026   252d     SLOW
delivery_anomaly_z           MID       +0.005    -0.016    -0.014    -0.011    -0.017   252d     SLOW ⚠
dio_change_yoy               LARGE     -0.005    +0.005    -0.010    -0.029    -0.051   252d     SLOW ⚠
dio_change_yoy               MID       -0.019    +0.008    -0.039    -0.071    -0.102   252d     SLOW ⚠
dio_change_yoy               SMALL     +0.001    -0.001    -0.006    -0.016    -0.018   252d     SLOW ⚠
dso_change_yoy               LARGE     -0.028    -0.028    -0.054    -0.075    -0.103   252d     SLOW
dso_change_yoy               MID       -0.002    -0.003    -0.031    -0.041    -0.030   126d     SLOW
dso_change_yoy               SMALL     +0.004    -0.001    -0.008    -0.021    -0.036   252d     SLOW ⚠
earnings_surprise_std        LARGE     -0.009    +0.010    +0.051    +0.060    +0.116   126d     SLOW ⚠
earnings_surprise_std        SMALL     -0.017    +0.003    +0.016    +0.018    +0.019   126d     SLOW ⚠
earnings_yield               LARGE     +0.026    +0.046    +0.071    +0.062    +0.072   252d     SLOW
earnings_yield               MID       -0.004    +0.021    +0.041    +0.048    +0.081   252d     SLOW ⚠
earnings_yield               SMALL     +0.053    +0.058    +0.044    +0.058    +0.073   252d     SLOW
eps_revision_yoy             MID       -0.051    -0.026    -0.036    -0.040    -0.059   252d     SLOW
fcf_margin                   LARGE     +0.011    +0.002    -0.009    -0.047    -0.087   252d     SLOW ⚠
fcf_margin                   MID       -0.016    -0.026    -0.052    -0.070    -0.084   252d     SLOW
fcf_yield                    MID       +0.047    +0.027    +0.041    +0.050    +0.062   252d     SLOW
fcf_yield                    SMALL     +0.011    +0.005    +0.013    +0.016    +0.027   252d     SLOW
financial_quality            SMALL     +0.019    +0.013    +0.029    +0.068    +0.133   252d     SLOW
financial_recovery           MID       +0.006    +0.072    +0.099    +0.164         —   126d     SLOW
financial_signal             SMALL     +0.019    +0.011    +0.001    +0.013    +0.051   252d     SLOW
goodwill_to_assets           LARGE     +0.059    -0.019    -0.023    -0.064    -0.103   252d     SLOW ⚠
goodwill_to_assets           MID       -0.049    -0.075    -0.075    -0.079    -0.149   252d     SLOW
insider_signal               LARGE     +0.023    -0.023    +0.006    -0.088    -0.152   252d     SLOW ⚠
insider_signal               MID       -0.018    -0.018    -0.009    -0.044    +0.005   126d     SLOW ⚠
insider_signal               SMALL     +0.018    +0.025    +0.021    +0.019    +0.035   252d     SLOW
interest_coverage            LARGE     -0.034    -0.052    -0.083    -0.105    -0.105   252d     SLOW
interest_coverage            MID       -0.030    -0.071    -0.087    -0.141    -0.163   252d     SLOW
interest_coverage            SMALL     -0.023    -0.022    -0.033    -0.066    -0.093   252d     SLOW
intraday_range_compression   MID       -0.015    +0.015    +0.007    +0.022    +0.018   126d     SLOW ⚠
intraday_range_compression   SMALL     -0.011    +0.006    +0.001    +0.016    +0.007   126d     SLOW ⚠
iv_percentile_1y             MID       -0.008    +0.010    +0.032    +0.082         —   126d     SLOW ⚠
iv_realised_spread           SMALL     -0.004    +0.037    +0.017    -0.058         —   126d     SLOW ⚠
iv_skew_25d                  LARGE     +0.018    +0.027    +0.002    +0.031         —   126d     SLOW
iv_term_structure            LARGE     -0.034    -0.012    -0.033    -0.098         —   126d     SLOW
iv_term_structure            MID       +0.032    -0.026    +0.030    +0.038         —   126d     SLOW ⚠
kyle_lambda                  LARGE     +0.036    +0.089    +0.177    +0.245    +0.338   252d     SLOW
kyle_lambda                  MID       +0.042    +0.071    +0.147    +0.196    +0.264   252d     SLOW
kyle_lambda                  SMALL     +0.044    +0.021    +0.063    +0.104    +0.120   252d     SLOW
macd_signal                  LARGE     -0.018    +0.015    -0.005    +0.018    +0.000   126d     SLOW ⚠
margin_slope                 SMALL     -0.006    -0.004    -0.009    -0.041    -0.063   252d     SLOW
mom_12m_adj                  MID       +0.006    -0.001    -0.051    -0.099    -0.187   252d     SLOW ⚠
mom_12m_adj                  SMALL     +0.016    +0.015    +0.021    +0.016    -0.040   252d     SLOW ⚠
mom_6m_adj                   LARGE     -0.033    -0.019    -0.034    -0.035    -0.049   252d     SLOW
mom_6m_adj                   MID       +0.028    +0.013    +0.008    +0.013    -0.091   252d     SLOW ⚠
mom_6m_adj                   SMALL     +0.004    -0.005    +0.009    +0.025    -0.016   126d     SLOW ⚠
mom_composite                LARGE     -0.044    -0.026    -0.048    -0.053    -0.021   126d     SLOW
mom_composite                MID       -0.007    +0.007    +0.005    -0.020    -0.127   252d     SLOW ⚠
nwc_to_revenue               LARGE     -0.017    +0.021    +0.020    +0.035    +0.034   126d     SLOW ⚠
nwc_to_revenue               SMALL     +0.008    +0.024    +0.040    +0.036    +0.041   252d     SLOW
opening_gap_freq_1m          LARGE     +0.004    +0.024    +0.018    -0.007    +0.028   252d     SLOW ⚠
opening_gap_freq_1m          MID       +0.010    +0.029    +0.046    +0.043    +0.046   252d     SLOW
opening_gap_freq_1m          SMALL     +0.020    +0.000    +0.021    +0.046    +0.044   126d     SLOW
piotroski_f_score            LARGE     -0.014    -0.003    +0.005    +0.010    -0.038   252d     SLOW ⚠
piotroski_f_score            SMALL     +0.014    +0.022    +0.022    +0.033    +0.027   126d     SLOW
pledge_quality               LARGE     -0.020    +0.001    +0.011    +0.011    +0.023   252d     SLOW ⚠
position_52w                 MID       -0.020    -0.001    -0.008    +0.019    -0.026   252d     SLOW ⚠
position_52w                 SMALL     -0.013    +0.026    +0.039    +0.052    +0.038   126d     SLOW ⚠
